SERIAL_NO,DEVICE_ID,PRODUCT_FAMILY,MODEL_NAME,PART_NUMBER,DEVICE_CAPACITY,COLOR,PURCHASE_SOURCE,ORDER_NUMBER,DATE_ADDED_TO_ORGANIZATION,DATE_REMOVED_FROM_ORGANIZATION,MDM_SERVER,DATE_ASSIGNED_TO_MDM_SERVER
C02D92H4ML7L,C02D92H4ML7L,Mac,"MacBook Pro 13""",MWP72LL/A,512GB,SILVER,Apple (1339106),1011749318,2021-12-16T09:57:32Z,,Addigy,2024-02-29T12:09:39Z
C02DN3B3MD6R,C02DN3B3MD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,512GB,SPACE GRAY,Apple (1339106),1011880954,2021-12-16T09:57:39Z,,Addigy,2024-02-29T12:09:39Z
C02DR0PTQ6LW,C02DR0PTQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1012046816,2021-12-16T09:57:35Z,,Addigy,2024-02-29T12:09:39Z
C02DR0PWQ6LW,C02DR0PWQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1012046816,2021-12-16T09:57:34Z,,Addigy,2024-02-29T12:09:39Z
C02F50CVMD6R,C02F50CVMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,512GB,SPACE GRAY,Apple (1339106),1012487760,2021-12-16T09:57:40Z,,Addigy,2024-02-29T12:09:39Z
C07DF09PPJJ7,C07DF09PPJJ7,Mac,Mac mini,Z0ZR,256GB,SPACE GRAY,Apple (1339106),1011641014,2021-12-16T09:57:41Z,,Addigy,2024-02-29T12:09:39Z
FVFCQ4WCM6KG,FVFCQ4WCM6KG,Mac,MacBook Air,MVH22LL/A,512GB,SPACE GRAY,Manually Added|Apple Configurator,CE-2023-11-16-11-20-39-396,2023-11-16T13:20:39Z,,Addigy,2024-02-29T12:09:39Z
FVFDD5RUMNHX,FVFDD5RUMNHX,Mac,MacBook Air,Z0YJ,256GB,SPACE GRAY,Apple (1339106),1011570796,2021-12-16T09:57:41Z,,Addigy,2024-02-29T12:09:39Z
FVFFV1DEQ6LW,FVFFV1DEQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1014643288,2021-12-16T09:57:38Z,,Addigy,2024-02-29T12:09:39Z
FVFFV1DXQ6LW,FVFFV1DXQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1014643288,2021-12-16T09:57:35Z,,Addigy,2024-02-29T12:09:39Z
FVFFV2JMQ6LR,FVFFV2JMQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014643288,2021-12-16T09:57:36Z,,Addigy,2024-02-29T12:09:39Z
FVFFV2XRQ6LR,FVFFV2XRQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014643288,2021-12-16T09:57:40Z,,Addigy,2024-02-29T12:09:39Z
FVFFV2ZBQ6LR,FVFFV2ZBQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014643288,2021-12-16T09:57:33Z,,Addigy,2024-02-29T12:09:39Z
FVFG14PNQ6LR,FVFG14PNQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014776641,2021-12-16T09:57:38Z,,Addigy,2024-02-29T12:09:39Z
FVFG159FQ6LR,FVFG159FQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014776641,2021-12-16T09:57:34Z,,Addigy,2024-02-29T12:09:39Z
FVFG15FNQ6LR,FVFG15FNQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014776641,2021-12-16T09:57:39Z,,Addigy,2024-02-29T12:09:39Z
FVFG162DQ6LR,FVFG162DQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1014776641,2021-12-16T09:57:33Z,,Addigy,2024-02-29T12:09:39Z
FVFGV43HQ6LR,FVFGV43HQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1015916983,2021-12-16T09:57:40Z,,Addigy,2024-02-29T12:09:39Z
FVFGV45NQ6LR,FVFGV45NQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1015916983,2021-12-16T09:57:36Z,,Addigy,2024-02-29T12:09:39Z
FVFGV57VQ6LR,FVFGV57VQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1015916983,2021-12-16T09:57:36Z,,Addigy,2024-02-29T12:09:39Z
FVFGV5BHQ6LR,FVFGV5BHQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1015916983,2021-12-16T09:57:30Z,,Addigy,2024-02-29T12:09:39Z
FVFHQ1KQQ6LW,FVFHQ1KQQ6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1016972211,2022-05-21T14:49:51Z,,Addigy,2024-02-29T12:09:39Z
FVFHQ1M8Q6LW,FVFHQ1M8Q6LW,Mac,MacBook Air,Z127,256GB,SILVER,Apple (1339106),1016972211,2022-05-21T14:44:26Z,,Addigy,2024-02-29T12:09:39Z
FVFHQ6ZPQ6LR,FVFHQ6ZPQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1339106),1016972208,2022-05-23T03:17:56Z,,Addigy,2024-02-29T12:09:39Z
H6P6J36K4N,H6P6J36K4N,Mac,"MacBook Air 15""",Z18T,1TB,MIDNIGHT,Apple (1339106),AAA0334876,2023-07-13T05:16:39Z,,Addigy,2024-02-29T12:09:39Z
L776615C7L,L776615C7L,Mac,MacBook Air,Z15S,256GB,SPACE GRAY,Apple (1339106),1017506582,2022-09-05T03:19:43Z,,Addigy,2024-02-29T12:09:39Z
T06X199YCP,T06X199YCP,Mac,"MacBook Pro 16""",Z14V,1TB,SPACE GRAY,Apple (1339106),1016536634,2022-03-21T03:40:55Z,,Addigy,2024-02-29T12:09:39Z
VYMH9YQ559,VYMH9YQ559,Mac,Mac mini (2023),MMFJ3LL/A,256GB,SILVER,Apple (1339106),1018882786,2023-04-12T17:11:31Z,,Addigy,2024-02-29T12:09:39Z
WGV9GQT3NF,WGV9GQT3NF,Mac,"MacBook Pro 16""",Z14V,1TB,SPACE GRAY,Apple (1339106),1016972208,2022-07-12T03:23:33Z,,Addigy,2024-02-29T12:09:39Z
XQR4V3N0F3,XQR4V3N0F3,Mac,MacBook Air,Z15S,256GB,SPACE GRAY,Apple (1339106),1017506582,2022-09-05T03:19:21Z,,Addigy,2024-02-29T12:09:39Z
YN7LF1Q136,YN7LF1Q136,Mac,MacBook Air,Z15W,256GB,SILVER,Apple (1339106),1017506583,2022-09-03T03:13:04Z,,Addigy,2024-02-29T12:09:39Z
DRXDFHG4PN,DRXDFHG4PN,Mac,"MacBook Pro (14-inch, 2023)",MPHH3LL/A,512GB,SILVER,Apple (1347650),AAA0852418,2023-10-16T23:21:50Z,,Addigy (Macs),2024-02-29T15:53:55Z
H2WDH08CPJJ9,H2WDH08CPJJ9,Mac,Mac mini,Z0ZT,512GB,SPACE GRAY,Apple (1347650),1011721725,2022-09-19T10:41:12Z,,Addigy (Macs),2024-02-29T15:53:55Z
H2WGC1W4Q6NV,H2WGC1W4Q6NV,Mac,Mac mini,MGNR3LL/A,256GB,SILVER,Apple (1347650),1015705927,2022-09-19T10:41:11Z,,Addigy (Macs),2024-02-29T15:53:55Z
JFRWR2Y2Q6,JFRWR2Y2Q6,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1015970999,2022-09-19T10:41:13Z,,Addigy (Macs),2024-02-29T15:53:55Z
K0WD9CQT77,K0WD9CQT77,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1015970999,2022-09-19T10:41:10Z,,Addigy (Macs),2024-02-29T15:53:55Z
K7V5XF4MC2,K7V5XF4MC2,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1015970999,2022-09-19T10:41:09Z,,Addigy (Macs),2024-02-29T15:53:55Z
KF73K576KJ,KF73K576KJ,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1015970999,2022-09-19T10:41:15Z,,Addigy (Macs),2024-02-29T15:53:55Z
N1XVYQ1730,N1XVYQ1730,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1015970999,2022-09-19T10:41:10Z,,Addigy (Macs),2024-02-29T15:56:10Z
P02D795DJQ,P02D795DJQ,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1015970999,2022-09-19T10:41:08Z,,Addigy (Macs),2024-02-29T15:53:55Z
V17WH3F6YV,V17WH3F6YV,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1017032839,2022-09-19T10:41:11Z,,Addigy (Macs),2024-02-29T15:53:55Z
W66Q2TRQXT,W66Q2TRQXT,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1015970999,2022-09-19T10:41:09Z,,Addigy (Macs),2024-02-29T15:53:55Z
XW2QGW5RQL,XW2QGW5RQL,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1017032839,2022-09-19T10:41:12Z,,Addigy (Macs),2024-03-04T14:35:03Z
XY2V45T4JF,XY2V45T4JF,Mac,"MacBook Pro 14""",Z15J,512GB,SILVER,Apple (1347650),1016488620,2022-09-19T10:41:14Z,,Addigy (Macs),2024-02-29T15:53:55Z
C02GK9VLMD6M,C02GK9VLMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,Apple (1364513),1015305700,2021-10-16T03:37:34Z,,Kandji,2022-11-14T12:24:59Z
C2QTP2L40R,C2QTP2L40R,Mac,MacBook Air,Z15S,512GB,SPACE GRAY,Apple (1364513),AAA0108559,2023-05-27T05:27:01Z,,Kandji,2023-05-27T05:27:01Z
C9VJ07CFGM,C9VJ07CFGM,Mac,MacBook Air,Z15T,512GB,SPACE GRAY,Apple (1364513),AAA0305570,2023-07-08T07:13:41Z,,Kandji,2023-07-08T07:13:41Z
CH4WYV1412,CH4WYV1412,Mac,"MacBook Pro (16-inch, 2023)",Z175,1TB,SPACE GRAY,Apple (1364513),AAA0909951,2023-10-26T05:42:05Z,,Kandji,2023-10-26T05:42:05Z
D6MT6J79V4,D6MT6J79V4,Mac,"MacBook Pro 14""",Z15G,1TB,SPACE GRAY,Apple (1364513),1016116394,2022-01-28T03:57:23Z,,Kandji,2022-11-14T11:05:20Z
F70K0C21HX,F70K0C21HX,Mac,"MacBook Air 15""",Z18N,512GB,SPACE GRAY,Apple (1364513),AAA0305570,2023-07-08T07:13:49Z,,Kandji,2023-07-08T07:13:49Z
FV32QL57HG,FV32QL57HG,Mac,Mac Studio (2022),MJMW3LL/A,1TB,SILVER,Apple (1364513),1017785501,2022-10-19T17:13:24Z,,Kandji,2024-03-05T15:25:15Z
FVFG17HKQ6LR,FVFG17HKQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),1014783023,2021-10-04T16:34:57Z,,NONE,
FVFG2B3RQ6LR,FVFG2B3RQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),1014827726,2021-10-04T16:34:52Z,,NONE,
FVFG57GLQ6LR,FVFG57GLQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),1014939403,2021-10-04T16:34:55Z,,NONE,
FVFG57YEQ6LR,FVFG57YEQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),1014939403,2021-10-04T16:34:57Z,,NONE,
FVFG5AKHQ6LR,FVFG5AKHQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),1014939403,2021-10-04T16:34:56Z,,NONE,
FVFG5AQLQ6LR,FVFG5AQLQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),1014939403,2021-10-04T16:34:55Z,,NONE,
FVFH33NQQ6LR,FVFH33NQQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),3584302835,2022-01-15T03:28:29Z,,Kandji,2022-11-14T09:39:19Z
FVFHQ7JUQ6LR,FVFHQ7JUQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),1016969446,2022-05-21T15:03:37Z,,Kandji,2022-11-14T10:09:20Z
FVFJY2B41WG7,FVFJY2B41WG7,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1364513),1018332907,2023-01-05T03:59:13Z,,Kandji,2023-01-05T03:59:13Z
GKMQCXY350,GKMQCXY350,Mac,MacBook Air,Z15T,512GB,SPACE GRAY,Apple (1364513),AAA0305570,2023-07-08T07:15:16Z,,Kandji,2023-07-08T07:15:16Z
H2WG60VHQ6NY,H2WG60VHQ6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1364513),1014939403,2021-10-04T16:34:54Z,,Kandji,2022-11-14T10:30:16Z
H2WG60XLQ6NY,H2WG60XLQ6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1364513),1014939403,2021-10-04T16:34:51Z,,Kandji,2024-03-05T15:25:15Z
H2WG60XRQ6NY,H2WG60XRQ6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1364513),1014939403,2021-10-04T16:34:50Z,,Kandji,2024-03-05T15:25:15Z
H36V21Q4MF,H36V21Q4MF,Mac,MacBook Air,Z15S,512GB,SPACE GRAY,Apple (1364513),AAA0364117,2023-07-20T05:14:50Z,,Kandji,2023-07-20T05:14:50Z
KFJQY49FMF,KFJQY49FMF,Mac,MacBook Air,Z15T,512GB,SPACE GRAY,Apple (1364513),AAA0305570,2023-07-08T07:14:12Z,,Kandji,2023-07-08T07:14:12Z
LJHX69JQTM,LJHX69JQTM,Mac,"MacBook Pro (14-inch, 2023)",MPHF3LL/A,1TB,SPACE GRAY,Apple (1364513),AAA0177161,2023-06-08T19:43:33Z,,Kandji,2023-06-08T19:43:33Z
LXCDWW0QLV,LXCDWW0QLV,Mac,MacBook Air,Z15S,256GB,SPACE GRAY,Apple (1364513),1018830318,2023-04-06T03:17:32Z,,Kandji,2023-04-06T03:17:32Z
MTCX91HG36,MTCX91HG36,Mac,"MacBook Pro (14-inch, 2023)",MPHE3LL/A,512GB,SPACE GRAY,Apple (1364513),AAA0364117,2023-07-17T21:25:57Z,,Kandji,2023-07-17T21:25:57Z
QG6XWP7RJ7,QG6XWP7RJ7,Mac,MacBook Air,Z15S,256GB,SPACE GRAY,Apple (1364513),1018542305,2023-02-11T03:13:24Z,,Kandji,2023-02-11T03:13:24Z
QMJ2X4KQC5,QMJ2X4KQC5,Mac,"MacBook Pro 14""",Z15H,1TB,SPACE GRAY,Apple (1364513),1016503769,2022-03-14T15:44:08Z,,Kandji,2022-12-01T14:00:11Z
VNWXGQ57GY,VNWXGQ57GY,Mac,MacBook Air,Z15S,256GB,SPACE GRAY,Apple (1364513),1018542305,2023-02-11T03:11:38Z,,Kandji,2023-02-11T03:11:38Z
WGT7120Q9D,WGT7120Q9D,Mac,"MacBook Pro (16-inch, 2023)",Z175,1TB,SPACE GRAY,Apple (1364513),AAA0909951,2023-10-26T05:28:46Z,,Kandji,2023-10-26T05:28:46Z
Y7XFK999CJ,Y7XFK999CJ,Mac,Mac Studio (2022),Z14J,1TB,SILVER,Apple (1364513),1016969022,2022-05-27T03:29:53Z,,Kandji,2022-11-14T10:56:18Z
YRQRXFM2RV,YRQRXFM2RV,Mac,MacBook Air,Z15S,512GB,SPACE GRAY,Apple (1364513),AAA0108559,2023-05-27T05:27:04Z,,Kandji,2023-05-27T05:27:04Z
CQ7243M4YX,CQ7243M4YX,Mac,"MacBook Pro (16-inch, 2023)",MNW93LL/A,1TB,SPACE GRAY,Apple (1399331),AAA0164154,2023-06-06T18:53:16Z,,Addigy,2024-03-04T17:21:18Z
FJQ36X64WV,FJQ36X64WV,Mac,MacBook Air,Z161,512GB,MIDNIGHT,Apple (1399331),AAA0509903,2023-08-19T06:09:00Z,,Addigy,2024-03-04T17:21:18Z
FVFFR356Q05D,FVFFR356Q05D,Mac,"MacBook Pro 13""",MYD82LL/A,256GB,SPACE GRAY,Apple (1399331),1014707259,2021-06-21T04:39:14Z,,Addigy,2024-03-04T17:21:18Z
GP6G6FW79Y,GP6G6FW79Y,Mac,"MacBook Pro (16-inch, 2023)",MNW93LL/A,1TB,SPACE GRAY,Apple (1399331),ADA3479765,2023-05-21T14:11:35Z,,Addigy,2024-03-04T17:21:18Z
JW5XW6QRKJ,JW5XW6QRKJ,Mac,"MacBook Pro 13""",Z16R,512GB,SPACE GRAY,Apple (1399331),1017855529,2022-10-17T07:11:04Z,,Addigy,2024-03-04T17:21:18Z
LYDJR3DP24,LYDJR3DP24,Mac,"MacBook Pro (16-inch, 2023)",MNW93LL/A,1TB,SPACE GRAY,Apple (1399331),AAA0020940,2023-05-05T03:57:41Z,,Addigy,2024-03-04T17:21:18Z
RMXJNM67D2,RMXJNM67D2,Mac,MacBook Air,Z161,512GB,MIDNIGHT,Apple (1399331),AAA0020940,2023-05-06T07:19:23Z,,Addigy,2024-03-04T17:21:18Z
Y1VY6CJ366,Y1VY6CJ366,Mac,MacBook Air,Z161,512GB,MIDNIGHT,Apple (1399331),AAA0020940,2023-05-06T07:18:10Z,,Addigy,2024-03-04T17:21:18Z
YMP6M95WXQ,YMP6M95WXQ,Mac,MacBook Air,Z161,512GB,MIDNIGHT,Apple (1399331),AAA0020940,2023-05-06T07:17:40Z,,Addigy,2024-03-04T17:21:18Z
C02DM362PN5V,C02DM362PN5V,Mac,"27"" iMac (Mid 2020)",MXWU2LL/A,512GB,SILVER,Apple (1353754),1012385402,2021-01-26T03:52:24Z,,Addigy,2024-03-04T11:10:18Z
C02DP58307F1,C02DP58307F1,Mac,"iMac 21.5""",MHK23LL/A,256GB,SILVER,Apple (1353754),1012385402,2021-01-22T03:45:08Z,,Addigy,2024-03-04T11:10:18Z
C02DWGN6MD6M,C02DWGN6MD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,Apple (1353754),1012385402,2021-01-14T16:23:23Z,,Addigy,2024-03-04T11:10:18Z
H2WFH0D7Q6NY,H2WFH0D7Q6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1353754),1014224961,2021-03-31T03:42:11Z,,Addigy,2024-03-04T11:10:18Z
H2WFH0G9Q6NY,H2WFH0G9Q6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1353754),1014224961,2021-03-31T03:45:58Z,,Addigy,2024-03-04T11:10:18Z
H4TFG0TTPN7C,H4TFG0TTPN7C,Mac,"27"" iMac (Mid 2020)",Z0ZX,512GB,SILVER,Apple (1353754),1014224961,2021-03-30T05:49:35Z,,Addigy,2024-03-04T11:10:18Z
H4TFH0M5PN78,H4TFH0M5PN78,Mac,"27"" iMac (Mid 2020)",Z0ZW,512GB,SILVER,Apple (1353754),1014224961,2021-04-02T04:15:06Z,,Addigy,2024-03-04T11:10:18Z
C02D20C3MD6R,C02D20C3MD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,512GB,SPACE GRAY,Apple (1307564),1011293969,2020-07-09T16:36:36Z,,Addigy,2024-03-05T08:04:46Z
C02DP80FMD6R,C02DP80FMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,512GB,SPACE GRAY,Apple (1307564),1011892196,2020-11-16T04:14:19Z,,Addigy,2024-03-05T08:04:46Z
DJ394MM2FH,DJ394MM2FH,Mac,"MacBook Pro 14""",MKGP3LL/A,512GB,SPACE GRAY,Apple (1307564),1016348573,2022-02-23T03:22:07Z,,Addigy,2024-03-05T08:04:46Z
DN9YF77DFJ,DN9YF77DFJ,Mac,"MacBook Pro (14-inch, 2023)",Z17G,512GB,SPACE GRAY,Apple (1307564),1018706458,2023-03-14T05:24:35Z,,Addigy,2024-03-05T08:04:46Z
DNFNKWYXK9,DNFNKWYXK9,Mac,"MacBook Pro (14-inch, 2023)",Z17G,512GB,SPACE GRAY,Apple (1307564),AAA0583156,2023-09-04T05:13:57Z,,Addigy,2024-03-05T08:04:46Z
FV2PVW9L95,FV2PVW9L95,Mac,"MacBook Pro (14-inch, Nov 2023)",Z1AU,512GB,SPACE BLACK,Apple (1307564),AAA1502274,2024-02-15T05:05:05Z,,Addigy,2024-03-05T08:04:46Z
FVFD1AHTM6KG,FVFD1AHTM6KG,Mac,MacBook Air,MVH22LL/A,512GB,SPACE GRAY,Apple (1307564),1011349850,2020-07-22T15:29:02Z,,Addigy,2024-03-05T08:04:46Z
FVFDQ8F9Q6L5,FVFDQ8F9Q6L5,Mac,MacBook Air,MGN73LL/A,512GB,SPACE GRAY,Apple (1307564),1012063313,2020-12-08T16:27:50Z,,Addigy,2024-03-05T08:04:46Z
FVFFN0A5Q6LR,FVFFN0A5Q6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1307564),1014412364,2021-05-06T04:43:10Z,,Addigy,2024-03-05T08:04:46Z
FVFFN0ADQ6LR,FVFFN0ADQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1307564),1014412364,2021-05-06T03:47:50Z,,Addigy,2024-03-05T08:04:46Z
FVFFN0NVQ6LR,FVFFN0NVQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1307564),1014412364,2021-05-06T04:48:41Z,,Addigy,2024-03-05T08:04:46Z
FVFG24CQQ6LR,FVFG24CQQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1307564),1014811916,2021-07-10T03:34:02Z,,Addigy,2024-03-05T08:04:46Z
FVFG24LKQ6LR,FVFG24LKQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1307564),1014811916,2021-07-10T03:41:16Z,,Addigy,2024-03-05T08:04:46Z
FVFG24RWQ6LR,FVFG24RWQ6LR,Mac,MacBook Air,Z124,256GB,SPACE GRAY,Apple (1307564),1014811916,2021-07-10T03:25:53Z,,Addigy,2024-03-05T08:04:46Z
